amfi_code,sharpe_ratio,scheme_name,rank
100016,-0.2015,HDFC Top 100 Fund - Regular Plan - Growth,35.0
100025,-0.5671,HDFC Short Term Debt Fund - Regular - Growth,39.0
100033,1.0937,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7.0
101206,1.0272,ABSL Frontline Equity Fund - Regular - Growth,9.0
101207,0.1627,ABSL Small Cap Fund - Regular - Growth,28.0
101208,-0.8156,ABSL Liquid Fund - Regular - Growth,40.0
102885,0.8171,UTI Nifty 50 Index Fund - Regular - Growth,16.0
102886,-0.2058,UTI Mid Cap Fund - Regular - Growth,36.0
102887,0.6195,UTI Flexi Cap Fund - Regular - Growth,22.0
118632,1.0817,Nippon India Large Cap Fund - Regular - Growth,8.0
118633,0.6452,Nippon India Large Cap Fund - Direct - Growth,21.0
118634,0.4484,Nippon India Small Cap Fund - Regular - Growth,26.0
118635,0.6649,Nippon India ETF Nifty 50 BeES,19.0
118636,-0.3566,Nippon India Gilt Securities Fund - Regular - Growth,38.0
119092,0.0308,Axis Bluechip Fund - Regular - Growth,31.0
119093,0.1296,Axis Bluechip Fund - Direct - Growth,29.0
119094,0.9982,Axis Midcap Fund - Regular - Growth,11.0
119095,-0.076,Axis Small Cap Fund - Regular - Growth,33.0
119120,-0.2266,SBI Magnum Gilt Fund - Regular Plan - Growth,37.0
119551,1.2083,SBI Bluechip Fund - Regular Plan - Growth,4.0
119552,0.9533,SBI Bluechip Fund - Direct Plan - Growth,12.0
119598,0.9453,SBI Small Cap Fund - Regular Plan - Growth,14.0
119599,-0.0572,SBI Small Cap Fund - Direct Plan - Growth,32.0
120503,0.798,ICICI Pru Bluechip Fund - Regular - Growth,17.0
120504,1.0265,ICICI Pru Bluechip Fund - Direct - Growth,10.0
120505,1.1801,ICICI Pru Midcap Fund - Regular - Growth,5.0
120506,0.6489,ICICI Pru Value Discovery Fund - Regular - Growth,20.0
120507,0.4957,ICICI Pru Liquid Fund - Regular - Growth,23.0
120841,0.4943,Kotak Bluechip Fund - Regular - Growth,24.0
120842,0.076,Kotak Emerging Equity Fund - Regular - Growth,30.0
120843,1.3067,Kotak Flexicap Fund - Regular - Growth,2.0
120844,-0.0887,Kotak Liquid Fund - Regular - Growth,34.0
125497,0.7758,HDFC Top 100 Fund - Direct Plan - Growth,18.0
125498,0.3006,HDFC Mid-Cap Opportunities Fund - Direct - Growth,27.0
148567,1.4483,Mirae Asset Large Cap Fund - Regular - Growth,1.0
148568,0.9263,Mirae Asset Emerging Bluechip Fund - Regular - Growth,15.0
148569,1.2349,Mirae Asset Tax Saver Fund - Regular - Growth,3.0
149322,0.464,DSP Top 100 Equity Fund - Regular - Growth,25.0
149323,1.1321,DSP Midcap Fund - Regular - Growth,6.0
149324,0.9498,DSP Small Cap Fund - Regular - Growth,13.0
