amfi_code,sortino_ratio,scheme_name
100016,-0.351,HDFC Top 100 Fund - Regular Plan - Growth
100025,-0.9418,HDFC Short Term Debt Fund - Regular - Growth
100033,1.8291,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,1.7996,ABSL Frontline Equity Fund - Regular - Growth
101207,0.2766,ABSL Small Cap Fund - Regular - Growth
101208,-1.681,ABSL Liquid Fund - Regular - Growth
102885,1.4357,UTI Nifty 50 Index Fund - Regular - Growth
102886,-0.3472,UTI Mid Cap Fund - Regular - Growth
102887,1.0888,UTI Flexi Cap Fund - Regular - Growth
118632,1.8501,Nippon India Large Cap Fund - Regular - Growth
118633,1.1545,Nippon India Large Cap Fund - Direct - Growth
118634,0.746,Nippon India Small Cap Fund - Regular - Growth
118635,1.138,Nippon India ETF Nifty 50 BeES
118636,-0.6135,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.0526,Axis Bluechip Fund - Regular - Growth
119093,0.2211,Axis Bluechip Fund - Direct - Growth
119094,1.7038,Axis Midcap Fund - Regular - Growth
119095,-0.1282,Axis Small Cap Fund - Regular - Growth
119120,-0.3768,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,2.1403,SBI Bluechip Fund - Regular Plan - Growth
119552,1.6098,SBI Bluechip Fund - Direct Plan - Growth
119598,1.6753,SBI Small Cap Fund - Regular Plan - Growth
119599,-0.0944,SBI Small Cap Fund - Direct Plan - Growth
120503,1.3379,ICICI Pru Bluechip Fund - Regular - Growth
120504,1.8053,ICICI Pru Bluechip Fund - Direct - Growth
120505,2.0294,ICICI Pru Midcap Fund - Regular - Growth
120506,1.0959,ICICI Pru Value Discovery Fund - Regular - Growth
120507,1.0521,ICICI Pru Liquid Fund - Regular - Growth
120841,0.8626,Kotak Bluechip Fund - Regular - Growth
120842,0.1247,Kotak Emerging Equity Fund - Regular - Growth
120843,2.3643,Kotak Flexicap Fund - Regular - Growth
120844,-0.1877,Kotak Liquid Fund - Regular - Growth
125497,1.3307,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.5088,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,2.3856,Mirae Asset Large Cap Fund - Regular - Growth
148568,1.6327,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,2.1469,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.7621,DSP Top 100 Equity Fund - Regular - Growth
149323,1.8751,DSP Midcap Fund - Regular - Growth
149324,1.6198,DSP Small Cap Fund - Regular - Growth
